PORTFOLIO.ID PORTFOLIO.PRIJMENI                                 PRODUCT.NAZEV                                      POCET_KUSU
           2 Chalupa                                            GENERALI EMER. EUROPE BOND Y EUR                          121 
           2 Chalupa                                            EATON CORP PLC                                            128 
           2 Chalupa                                            GENERALI EMER. EUROPE BOND A CZK                          119 
           2 Chalupa                                            CW SR FINANCING 7 1/2 10/15/26                           -168 
           2 Chalupa                                            BKO GOV 0 11/12/2020                                     -121 
           2 Chalupa                                            HSBC MSCI TURKEY UCITS ETF                                121 
           1 Novák                                              DCC PLC                                                   -20 
           1 Novák                                              KINGSPAN GROUP PLC                                        -37 
           1 Novák                                              ABB LTD. EUR                                              -31 
           1 Novák                                              ISHARES MSCI RUSSIA ADR/GDR ETF                          -120 
           1 Novák                                              GENERALI COMMODITY A EUR                                 -154 
           1 Novák                                              ACCENTURE LTD                                            -132 
           2 Chalupa                                            WILLIS TOWERS WATSON PLC                                  127 
           2 Chalupa                                            ALLEGION PLC                                              127 
           2 Chalupa                                            GENERALI PREMIUM BALANCED A RON                           120 
           3 Svobodová                                          GENERALI DYNAMIC BALANCED A CZK                           124 
           1 Novák                                              USD                                                       -20 
           1 Novák                                              GENERALI CORPORATE BONDS B EUR                           -140 
           1 Novák                                              GENERALI CORPORATE BONDS B HUF                           -130 
           5 Beneš                                              US TREASURY 2.5 30/06/2020                                129 
           5 Beneš                                              SUPERIOR PLUS 7 07/15/26                                  118 
           3 Svobodová                                          LINDE PLC                                                 116 
           3 Svobodová                                          ISHARES EURO STOXX 50 EUE_IM                              124 
           3 Svobodová                                          DANIELI  CO                                               125 
           3 Svobodová                                          BPER BANCA                                                118 
           3 Svobodová                                          SPDR Russell 2000 US Small Cap UCIS ETF                   117 
           3 Svobodová                                          PADDY POWER BETFAIR PLC                                   124 
           3 Svobodová                                          JOHNSON CONTROLS INTL PLC                                 117 
           4 Chlupová                                           BANCA MONTE DEI PASCHI SIENA                              119 
           4 Chlupová                                           ENEL GREEN POWER SPA rights 02/2016                       117 
           4 Chlupová                                           BANCA FARMAFACTORING SPA                                  124 
           3 Svobodová                                          ENI SPA                                                   122 
           4 Chlupová                                           TELECOM ITALIA                                            125 
           4 Chlupová                                           PIRELLI  C REAL ESTATE SPA RTS                            118 
           5 Beneš                                              GOTTEX ABI Fund                                           125 
           5 Beneš                                              HALYK SAVINGS BANK OF KAZAKHSTAN                          114 
           4 Chlupová                                           CENTAMIN PLC                                              124 
           4 Chlupová                                           WPP PLC                                                   121 
           5 Beneš                                              TOKYO ELECTRIC POWER CO INC                               122 
           5 Beneš                                              ASTELLAS PHARMA INC                                       122 
           5 Beneš                                              ROYAL CARIBBEAN CRUISES LTD                               117 
           1 Novák                                              CONSEQ INVEST DLUHOPISOVY OPF                             -11 
           1 Novák                                              GENERALI DYNAMIC BALANCED A RON                          -168 
           1 Novák                                              GENERALI DYNAMIC BALANCED B EUR                          -156 
           1 Novák                                              GENERALI DYNAMIC BALANCED B CZK                          -156 
           1 Novák                                              SPDR Russell 2000 US Small Cap UCIS ETF                  -121 
           1 Novák                                              GENERALI Premium Dynamic A EUR                           -169 
           1 Novák                                              LINDE PLC                                                -196 
           1 Novák                                              ANGLO IRISH BANK CORP PLC  old acquired                   -16 
           1 Novák                                              ELBIT SYSTEMS LTD                                        -132 
           1 Novák                                              COMPUGEN LTD.                                            -120 
           1 Novák                                              RISANAMENTO SPA                                          -120 
           1 Novák                                              CONSEQ INVEST NEW EUROPE BOND F.                          -86 
           1 Novák                                              ISHARES II PLC                                            -16 
           1 Novák                                              GENERALI PREMIUM CONSERVATIVE A CZK                      -140 
           1 Novák                                              ALLEGION PLC                                             -169 
           1 Novák                                              VANGUARD SP 500 ETF / IE                                  -12 
           1 Novák                                              SOURCE SP 500 ETF                                         -23 
           1 Novák                                              FANTASIA HOLDINGS GROUP CO. LTD                          -168 
           1 Novák                                              OPUS CREDIT  LTD CLASS B1 EUR                            -110 
           1 Novák                                              SANDS CHINA LTD.                                         -168 
           1 Novák                                              GENERALI PREMIUM CONSERVATIVE A EUR                        -8 
           1 Novák                                              SINA CORP                                                -120 
           1 Novák                                              XINYI SOLAR HOLDINGS LTD                                 -132 
           1 Novák                                              XIAOMI CORP-CLASS B                                      -169 
           1 Novák                                              HALYK SAVINGS BANK OF KAZAKHSTAN                         -143 
           1 Novák                                              WARNER CHILCOTT PLC-CLASS A                               -39 
           2 Chalupa                                            GENERALI COMMODITY A EUR                                  121 
           2 Chalupa                                            HZL PKO BANK HIPOTECZNY L+62 25/07/2025                  -120 
           1 Novák                                              HZL MBANK HIPO L+58 10/06/2024                           -130 
           1 Novák                                              US TREASURY 2.5 30/06/2020                               -100 
           1 Novák                                              DKT FINANCE APS DKTFIN 7 06/17/23                        -120 
           2 Chalupa                                            ISHARES PHYSICAL PALLADIUM ETC                            124 
           1 Novák                                              ATLANTIA SPA                                             -168 
           1 Novák                                              PIRELLI  C REAL ESTATE SPA RTS                           -143 
           1 Novák                                              ENEL GREEN POWER SPA                                     -143 
           1 Novák                                              UNICREDIT SPA RIGHTS                                     -120 
           1 Novák                                              SAIPEM SPA rights 01/2016                                -140 
           1 Novák                                              ENEL GREEN POWER SPA rights 02/2016                      -143 
           1 Novák                                              UNICREDIT SPA RIGHTS 04/2016                             -100 
           1 Novák                                              ETFS PHYSICAL GOLD                                       -140 
           1 Novák                                              ETFS PHYSICAL PM BASKET                                  -120 
           1 Novák                                              GLENCORE PLC                                             -140 
           1 Novák                                              CENTAMIN PLC                                             -182 
           1 Novák                                              TOKYO ELECTRIC POWER CO INC                              -169 
           1 Novák                                              ASTELLAS PHARMA INC                                      -132 
           1 Novák                                              GRAND KOREA LEISURE CO LTD                               -168 
           2 Chalupa                                            GENERALI EMER. EUROPE BOND A PLN                          125 
           2 Chalupa                                            GENERALI EMER. EUROPE BOND A RON                          118 
           2 Chalupa                                            GENERALI CORPORATE BONDS A CZK                            118 
           2 Chalupa                                            US TREASURY 3 31/10/2025                                 -110 
           2 Chalupa                                            JAZZ PHARMACEUTICALS PLC                                  119 
           2 Chalupa                                            FIKTIVNI BOND STRIP 26/11/19-22                          -169 
           2 Chalupa                                            CITIGROUP L+50 10/12/2021                                -121 
           2 Chalupa                                            INGERSOLL-RAND PLC.                                       127 
           2 Chalupa                                            GENERALI COMMODITY A PLN                                  120 
           2 Chalupa                                            GENERALI CORPORATE BONDS A PLN                            121 
           2 Chalupa                                            GENERALI CORPORATE BONDS B RON                            122 
           2 Chalupa                                            GENERALI CORPORATE BONDS B PLN                            115 
           2 Chalupa                                            GENERALI CORPORATE BONDS B HUF                            118 
           1 Novák                                              ZKB GOLD ETF                                              -34 
           1 Novák                                              SEAGATE TECHNOLOGY                                       -156 
           1 Novák                                              SOURCE EUROPE PLUS                                       -169 
           1 Novák                                              CRH PLC                                                    -1 
           1 Novák                                              SOURCE EURO STOXX 50 ETF - A                             -168 
           1 Novák                                              GENERALI EMERGING EUROPE A EUR                           -154 
           1 Novák                                              ISHARES PHYSICAL SILVER ETC                              -196 
           2 Chalupa                                            GENERALI PREMIUM BALANCED A PLN                           112 
           1 Novák                                              SSGA SPDR ETFS EUR SP 500                                -143 
           5 Beneš                                              HZL MBANK HIPO L+58 10/06/2024                            117 
           2 Chalupa                                            CZK                                                    -50598 
           3 Svobodová                                          SODASTREAM INTERNATIONAL LTD                              112 
           3 Svobodová                                          GENERALI ASSICURAZIONI SPA                                115 
           3 Svobodová                                          SAIPEM SPA                                                132 
           3 Svobodová                                          KING DIGITAL ENTERTAINMENT PLC                            121 
           3 Svobodová                                          DB X-TRACKERS EQUITY LOW BETA FACTOR UCITS ETF            125 
           3 Svobodová                                          SOURCE NASDAQ BIOTECH UCITS ETF                           117 
           3 Svobodová                                          ISHARES EUR CORP BBB-BB                                   122 
           4 Chlupová                                           UNICREDIT SPA RIGHTS 04/2016                              116 
           4 Chlupová                                           UNICREDIT SPA PLN                                         245 
           3 Svobodová                                          IREN SPA                                                  126 
           3 Svobodová                                          PIAGGIO  C. S.P.A.                                        122 
           4 Chlupová                                           TERNA SPA                                                 118 
           4 Chlupová                                           TELECOM ITALIA-RSP                                        115 
           4 Chlupová                                           FIAT INDUSTRIAL SPA - PFD                                 126 
           4 Chlupová                                           FIAT SPA RIGHTS 2012                                      121 
           4 Chlupová                                           FIAT INDUSTRIAL SPA RIGHTS 2012                           111 
           5 Beneš                                              NOBLE CORP OLD 2009                                       120 
           5 Beneš                                              XINGDA INTERNATIONAL HOLDINGS LT                          114 
           5 Beneš                                              OPUS Fund Limited Class S Shares                          117 
           5 Beneš                                              EXCEL MARITIME CARRIERS LTD                               121 
           5 Beneš                                              TRANSOCEAN INC                                            121 
           4 Chlupová                                           ETFS SHORT SILVER                                         120 
           4 Chlupová                                           ETFS LONGER DATD AGRICULTURE                              124 
           4 Chlupová                                           GLENCORE PLC                                              121 
           5 Beneš                                              TOYOTA MOTOR CORP                                         122 
           1 Novák                                              GENERALI DYNAMIC BALANCED A CZK                          -168 
           1 Novák                                              GENERALI DYNAMIC BALANCED B HUF                          -154 
           1 Novák                                              ISHARES CORE MSCI EM IMI UCITS - USD                     -132 
           1 Novák                                              JOHNSON CONTROLS INTL PLC                                -132 
           1 Novák                                              CHECK POINT SW TECH                                      -169 
           1 Novák                                              ISHARES FTSE UK DIVIDEND PLUS                             -24 
           1 Novák                                              HERA SPA                                                 -156 
           1 Novák                                              FIAT SPA                                                 -120 
           1 Novák                                              ENEL IM                                                  -120 
           1 Novák                                              ISHARES CORE FTSE 100 UCITS                                -6 
           1 Novák                                              EATON CORP PLC                                           -144 
           1 Novák                                              GENERALI EMER. EUROPE BOND A CZK                         -182 
           1 Novák                                              ALLERGAN PLC old                                         -169 
           1 Novák                                              GCL-POLY ENERGY HOLDINGS LTD                             -168 
           1 Novák                                              PEAK SPORT PRODUCTS LTD.                                 -110 
           1 Novák                                              SCOTTISH RE GROUP                                        -168 
           1 Novák                                              INVESCO PHYSICAL SILVER ETC                               -18 
           2 Chalupa                                            ANTARES HOLDINGS 6 08/15/23                              -182 
           2 Chalupa                                            DBR GOV ZERO 13/10/2023                                  -132 
           2 Chalupa                                            US TREASURY 2.875 31/07/2025                             -156 
           2 Chalupa                                            US TREASURY 2.75 31/08/2025                              -156 
           1 Novák                                              DKT FINANCE APS DKTFIN 9 3/8 06/17/23                    -130 
           2 Chalupa                                            RAIFFEISEN BK INT 4.75 06/07/2021                        -130 
           2 Chalupa                                            SIMMONS FOODS 7 3/4 01/15/24                             -110 
           1 Novák                                              TERNA SPA                                                -154 
           1 Novák                                              IVY Rosewood Diversified Feeder Fund EUR                  -13 
           1 Novák                                              UNIPOL GRUPPO FINANZIARIO SP                             -130 
           1 Novák                                              FIAT SPA RIGHTS 2012                                     -156 
           1 Novák                                              MONCLER SPA                                              -169 
           1 Novák                                              ETFS DAILY LEVERAGED COFFEE                              -130 
           1 Novák                                              FERGUSON PLC                                             -120 
           1 Novák                                              CANON INC                                                -132 
           1 Novák                                              VANGUARD FTSE EMERGING MARKETS ETF                         -7 
           1 Novák                                              CELLTRION INC                                            -156 
           2 Chalupa                                            FINISTERRE DM DEBT FUND EURO I CLASS                      120 
           2 Chalupa                                            INTERTAPE POLYMR 7 10/15/26                              -130 
           2 Chalupa                                            W  T OFFSHORE 9 3/4 11/01/23                             -132 
           2 Chalupa                                            ISHARES EMERGING MKT DIV UCITS                            118 
           2 Chalupa                                            GENERALI CORPORATE BONDS B CZK                            114 
           1 Novák                                              NESTLE SA-REG                                             -10 
           1 Novák                                              CHUBB LTD                                                 -10 
           1 Novák                                              INVESCO MSCI WORLD ETF                                   -154 
           1 Novák                                              PENTAIR LTD.                                              -15 
           1 Novák                                              INVESCO PHYSICAL PALLADIUM                               -110 
           2 Chalupa                                            GENERALI PREMIUM BALANCED A CZK                           112 
           3 Svobodová                                          GENERALI PREMIUM BALANCED B RON                           122 
           3 Svobodová                                          GENERALI DYNAMIC BALANCED B EUR                           118 
           5 Beneš                                              DEKINVEST Alfa L+220 27/06/2023                           123 
           5 Beneš                                              DKT FINANCE APS DKTFIN 7 06/17/23                         117 
           3 Svobodová                                          BOOST BTP 10Y 5X SHORT DAILY                              115 
           3 Svobodová                                          GENERALI Premium Dynamic A EUR                            120 
           3 Svobodová                                          ISHARES DJ ASIA/PAC SD 30 ETF GBP                         117 
           3 Svobodová                                          ISHARES CORE MSCI EM IMI UCITS - EUR                      120 
           3 Svobodová                                          VIZRT LTD.                                                129 
           3 Svobodová                                          GENERALI DYNAMIC BALANCED B RON                           118 
           3 Svobodová                                          VANECK VECTORS JUNIOR GOLD MINERS UCITS ETF               121 
           4 Chlupová                                           OVS SPA                                                   122 
           4 Chlupová                                           SNAM SPA                                                  118 
           4 Chlupová                                           AZIMUT HOLDING                                            110 
           4 Chlupová                                           ENEL SPA - RTS                                            126 
           4 Chlupová                                           ENEL GREEN POWER SPA                                      121 
           4 Chlupová                                           PIRELLI  C SPA                                            117 
           4 Chlupová                                           SALVATORE FERRAGAMO SPA                                   116 
           4 Chlupová                                           MAIRE TECNIMONT SPA                                       115 
           5 Beneš                                              CELLTRION INC                                             120 
           5 Beneš                                              GRAND KOREA LEISURE CO LTD                                115 
           5 Beneš                                              OLYMPIA SPEC OPPORT CLASS B  EUR                          115 
           5 Beneš                                              OPUS CREDIT FUND LTD SP2 EUR                              124 
           5 Beneš                                              XINYI SOLAR HOLDINGS LTD                                  118 
           5 Beneš                                              BANK TURANALEM JSC                                        115 
           5 Beneš                                              OPUS Fund Limited Class B Shares                          115 
           4 Chlupová                                           ETFS SHORT COTTON ETC                                     124 
           4 Chlupová                                           ETFS 2X DAILY LONG COCOA                                  116 
           4 Chlupová                                           SHIRE PLC - GBP                                           114 
           5 Beneš                                              NINTENDO CO LTD                                           116 
           5 Beneš                                              FIDELITY FUND-SOUTH EAST ASIA FUND                        118 
           5 Beneš                                              ABN AMRO-EUR-E-A - NEPOUZIVAT !!!                         120 
           1 Novák                                              GENERALI PREMIUM BALANCED B PLN                          -196 
           1 Novák                                              GENERALI DYNAMIC BALANCED A EUR                          -169 
           1 Novák                                              GENERALI DYNAMIC BALANCED B PLN                          -130 
           1 Novák                                              BAREP Global Credit Class B (EUR)                         -13 
           1 Novák                                              GENERALI GLOBAL EQUITY A CZK                             -121 
           1 Novák                                              CONSEQ INVEST CONSERV. BOND F.                            -64 
           1 Novák                                              ALLERGAN PLC                                             -168 
           1 Novák                                              GENERALI Premium Dynamic A PLN                           -168 
           1 Novák                                              ISHARES DJ ASIA/PAC SD 30 ETF GBP                        -143 
           1 Novák                                              ISHARES EMERGING MKT DIV UCITS USD                       -154 
           1 Novák                                              INTESA SANPAOLO                                          -130 
           1 Novák                                              FIAT SPA - PFD                                           -156 
           1 Novák                                              GENERALI EMER. EUROPE BOND A EUR                         -121 
           1 Novák                                              GENERALI EMERGING EUROPE Y EUR DIV                       -144 
           1 Novák                                              HSBC MSCI AC FAR EAST EX JAPAN                           -154 
           1 Novák                                              iShares EURO STOXX 50                                     -34 
           1 Novák                                              nVent Electric PLC                                       -156 
           1 Novák                                              NOBLE CORP OLD 2009                                      -120 
           1 Novák                                              OPUS CREDIT FUND LTD SP1 EUR                             -168 
           1 Novák                                              FIDELITY FUNDS-EMERGING MARKETS                          -132 
           1 Novák                                              ABN AMRO-EUR-E-A - NEPOUZIVAT !!!                        -132 
           2 Chalupa                                            FIKTIVNI GPRE CZK 2.30471 2/8/2022                       -154 
           2 Chalupa                                            PARTY CITY HLDG 6 5/8 08/01/26                           -110 
           2 Chalupa                                            MARRIOTT OWNERSH 6 1/2 09/15/26                          -140 
           2 Chalupa                                            INVESCO PHYSICAL PALLADIUM                                123 
           1 Novák                                              GOLDMAN SACHS L+111 19/06/2028                           -154 
           1 Novák                                              GENERALI NEW ECONOMIES A EUR                              -41 
           1 Novák                                              SNAM SPA                                                 -156 
           1 Novák                                              AZIMUT HOLDING                                           -132 
           1 Novák                                              SALVATORE FERRAGAMO SPA                                  -130 
           1 Novák                                              UNICREDIT SPA                                            -312 
           1 Novák                                              UNICREDIT SPA RIGHTS 05/2015                             -140 
           1 Novák                                              ETFS SHORT SILVER                                        -140 
           1 Novák                                              DELPHI TECHNOLOGIES PLC                                  -156 
           1 Novák                                              WPP PLC                                                  -143 
           1 Novák                                              SAMSUNG ELECTRONIC CO LTD. KRW                           -196 
           2 Chalupa                                            ISHARES MSCI EUROPE MINIMUM VOLATILITY UCITS ETF          116 
           2 Chalupa                                            GENERALI EMER. EUROPE BOND A HUF                          117 
           2 Chalupa                                            VANGUARD FTSE JAPAN UCITS                                 124 
           2 Chalupa                                            INVESCO BLOOMBERG COMMODITY ETF                           119 
           2 Chalupa                                            US TREASURY 2.75 30/09/2020                              -110 
           2 Chalupa                                            STEVENS HOLDING 6,125 10/01/26                           -140 
           2 Chalupa                                            BANK PEKAO L+155 16/10/2028 SUB C23                      -169 
           2 Chalupa                                            CITIGROUP 4.4 10/12/2021                                 -143 
           2 Chalupa                                            ISHARES FTSE 100 UCITS ACC                                129 
           2 Chalupa                                            ISHARES NASDAQ 100 USD ACC ETF                            118 
           2 Chalupa                                            SOURCE EUROPE PLUS                                        113 
           2 Chalupa                                            ISHARES MSCI RUSSIA ADR/GDR ETF                           114 
           2 Chalupa                                            ISHARES MARKIT IBOXX EUR H/Y                              120 
           2 Chalupa                                            GENERALI PREMIUM CONSERVATIVE A PLN                       120 
           1 Novák                                              ISHARES NASDAQ 100 USD ACC ETF                           -182 
           1 Novák                                              ISHARES EMERGING MKT DIV UCITS                           -182 
           1 Novák                                              ISHARES MARKIT IBOXX EUR H/Y                             -130 
           1 Novák                                              CIE FINANCIERE RICHEMONT-REG                              -16 
           3 Svobodová                                          GENERALI DYNAMIC BALANCED A RON                           118 
           1 Novák                                              EUR                                                       -63 
           1 Novák                                              ISHARES SP 500 MINIMUM VOLATILITY UCITS ETF              -168 
           1 Novák                                              GENERALI PREMIUM CONSERVATIVE A PLN                      -130 
           1 Novák                                              GENERALI EMER. EUROPE BOND A PLN                         -132 
           5 Beneš                                              ALBERTSONS COS 0 01/15/24                                 120 
           3 Svobodová                                          RYANAIR HOLDINGS PLC                                      125 
           3 Svobodová                                          INTESA SANPAOLO                                           117 
           3 Svobodová                                          INTESA SANPAOLO-RSP                                       128 
           3 Svobodová                                          VITTORIA ASSICURAZIONI SPA                                120 
           3 Svobodová                                          ISHARES CORE MSCI EM IMI UCITS - USD                      119 
           3 Svobodová                                          MV GOLD MINERS UCITS ETF                                  118 
           4 Chlupová                                           BANCO BPM SPA                                             118 
           4 Chlupová                                           SALINI IMPREGILO SPA                                      118 
           4 Chlupová                                           UNIPOL GRUPPO FINANZIARIO SP                              118 
           5 Beneš                                              BANK CENTERCREDIT                                         117 
           5 Beneš                                              SANDS CHINA LTD.                                          118 
           5 Beneš                                              FIDELITY FUNDS-EMERGING MARKETS                           124 
           5 Beneš                                              FIDELITY FUND-THAILAND FUND-A                             120 
           1 Novák                                              GENERALI PREMIUM BALANCED A CZK                          -130 
           1 Novák                                              GENERALI PREMIUM BALANCED A PLN                          -154 
           1 Novák                                              GENERALI PREMIUM BALANCED A HUF                          -100 
           1 Novák                                              GENERALI PREMIUM BALANCED B EUR                          -168 
           1 Novák                                              ISHARES SP 500 UCITS ETF DIST                              -9 
           1 Novák                                              VANECK VECTORS JUNIOR GOLD MINERS UCITS ETF              -110 
           1 Novák                                              ISHARES EURO STOXX 50 EUE_IM                             -132 
           1 Novák                                              FINECOBANK SPA                                           -132 
           1 Novák                                              ISHARES MSCI EMERG. MKTS                                  -46 
           1 Novák                                              INTESA SANPAOLO-RSP                                      -156 
           1 Novák                                              IREN SPA                                                 -154 
           1 Novák                                              GENERALI CORPORATE BONDS A CZK                           -144 
           1 Novák                                              WILLIS TOWERS WATSON PLC                                 -156 
           1 Novák                                              OPUS CREDIT FUND LTD SP2 EUR                             -154 
           1 Novák                                              TRANSOCEAN INC.                                          -156 
           1 Novák                                              KAZKOMMERTSBANK                                          -154 
